page_num,student_id
293,134523
294,134555
298,120243
298,130847
299,130856
299,120847
300,131230
300,131656
301,132195
301,132372
302,122834
302,122964
303,134912
303,134918
304,133644
304,133878
305,123849
305,134026
306,134540
320,130031
320,130088
321,130132
321,134585
322,130171
322,130172
323,130195
323,130247
324,134819
324,130272
325,130331
325,130407
326,130462
326,130549
327,134605
327,120786
328,130819
328,130861
329,130881
329,120854
330,130882
330,130885
331,130944
331,130961
332,130971
332,130972
333,130979
333,120960
334,131034
334,131059
335,124637
335,131142
336,131174
336,124471
337,131268
337,131346
338,131434
338,134638
339,131498
339,131539
340,134647
340,131653
341,131681
341,131732
342,131758
342,131876
343,131898
343,131904
344,131914
344,131920
345,132026
345,132032
346,132058
346,132146
347,132162
347,132213
348,132227
348,132290
349,134882
349,132362
350,132375
350,132457
351,132478
351,132531
352,132551
352,132598
353,132614
353,132623
354,132635
354,132654
355,132655
355,134782
356,132829
356,132889
357,132940
357,132984
358,133092
358,133226
359,133298
359,133411
360,133422
360,133437
361,133438
361,134697
362,133537
362,133573
363,133587
363,133711
364,133740
364,133780
365,133885
365,133886
366,133897
366,133918
367,133947
367,134004
368,134719
368,134038
369,134722
369,134248
370,134290
370,134320
371,124154
371,134346
372,134350
372,124583
373,134364
373,134392
374,134428
374,134947
375,134478
375,134487
376,134507
376,134517
377,134528
377,134542
378,134543
378,134561
384,134590
384,130690
385,130879
385,130934
386,120901
386,130957
387,121159
387,121171
388,131365
388,121366
389,131411
389,131438
390,131464
390,131625
391,121674
391,122229
392,132288
392,122380
393,132550
393,122627
394,134681
394,132810
395,132919
395,133100
396,133150
396,133224
397,133372
397,134695
398,123587
398,123841
399,134128
399,134323
400,134463
400,134500
401,134514
417,130039
417,130041
418,130051
418,130066
419,130094
419,130109
420,130141
420,130205
421,130222
421,130235
422,130344
422,130264
423,130298
423,130314
424,130450
424,130553
425,130607
425,130649
426,130732
426,130777
427,130853
427,130854
428,130858
428,130875
429,130888
429,130903
430,130904
430,130920
431,130922
431,130960
432,130988
432,131004
433,131046
433,131111
434,131243
434,131266
435,131272
435,131326
436,131436
436,131451
437,131586
437,131637
438,131667
438,131668
439,131700
439,131708
440,131720
440,131762
441,131813
441,131846
442,131867
442,131994
443,132023
443,132028
444,132039
444,132116
445,132138
445,132166
446,132245
446,132278
447,132295
447,132315
448,132319
448,132387
449,132409
449,132431
450,132463
450,132533
451,132565
451,132567
452,132608
452,132618
453,132640
453,132668
454,132729
454,132777
455,132809
455,132812
456,132822
456,132910
457,132911
457,132950
458,132970
458,133004
459,133006
459,133030
460,133152
460,133199
461,133253
461,133300
462,133349
462,133398
463,133442
463,133484
464,133527
464,133614
465,133639
465,133669
466,133670
466,133681
467,123644
467,133772
468,133846
468,133903
469,133905
469,133987
470,133989
470,133992
471,134003
471,134019
472,134024
472,134030
473,134073
473,134111
474,134157
474,134182
475,134184
475,134193
476,134194
476,134265
477,134322
477,134348
478,134376
478,134410
479,134415
479,134448
480,134482
480,134484
481,134498
481,134515
482,134735
482,134545
483,134549
483,134554
515,130017
515,110021
516,124427
516,120093
517,134740
517,130126
518,130133
518,130145
519,130342
519,130185
520,130204
520,130226
521,130261
521,134743
522,130303
522,130311
523,130318
523,130337
524,120355
524,130359
525,130401
525,130465
526,130479
526,120502
527,130521
527,130538
528,130609
528,130665
529,130697
529,130707
530,130715
530,130737
531,130753
531,134962
532,130778
532,120760
533,130850
533,130859
534,130868
534,130872
535,130893
535,130897
536,130899
536,130900
537,130907
537,130918
538,130925
538,130928
539,130977
539,130942
540,130947
540,130953
541,130968
541,130973
542,130981
542,130985
543,130995
543,131008
544,131009
544,131013
545,131021
545,131074
546,131082
546,131117
547,131128
547,134844
548,131145
548,134629
549,131169
549,131183
550,131185
550,121178
551,131203
551,131209
552,131221
552,131314
553,131229
553,131280
554,131287
554,131288
555,131309
555,131335
556,131419
556,131446
557,131462
557,131488
558,131490
558,131506
559,131514
559,131522
560,131533
560,131534
